Date,Apple,Amazon,Google,Meta,Microsoft,Netflix,Uber
2022-03-03,166.229996,147.898499,134.307999,202.970001,295.920013,368.070007,31.719999
2022-03-04,163.169998,145.641006,132.121994,200.059998,289.859985,361.730011,29.83
2022-03-07,159.300003,137.453003,126.4645,187.470001,278.910004,350.26001,28.57
2022-03-08,157.440002,136.014496,127.278503,190.289993,275.850006,341.76001,30.74
2022-03-09,162.949997,139.279007,133.865997,198.5,288.5,358.790009,31.5
2022-03-10,158.520004,146.817505,132.682007,195.210007,285.589996,356.769989,30.41
2022-03-11,154.729996,145.524506,130.475494,187.610001,280.070007,340.320007,30.76
2022-03-14,150.619995,141.852997,126.740997,186.630005,276.440002,331.01001,29.27
2022-03-15,155.089996,147.366501,129.660507,192.029999,287.149994,343.75,29.799999
2022-03-16,159.589996,153.104004,133.690506,203.630005,294.390015,357.529999,32.610001
2022-03-17,160.619995,157.238998,134.600494,207.839996,295.220001,371.399994,32.849998
2022-03-18,163.979996,161.250504,136.801498,216.490005,300.429993,380.600006,33.360001
2022-03-21,165.380005,161.491501,136.4785,211.490005,299.160004,374.589996,31.98
2022-03-22,168.820007,164.889008,140.277496,216.649994,304.059998,382.920013,33.349998
2022-03-23,170.210007,163.408005,138.503494,213.460007,299.48999,374.48999,33.060001
2022-03-24,174.070007,163.649506,141.311996,219.570007,304.100006,375.709991,34.700001
2022-03-25,174.720001,164.773499,141.5215,221.820007,303.679993,373.850006,34.060001
2022-03-28,175.600006,168.990494,141.949997,223.589996,310.700012,378.51001,34.77
2022-03-29,178.960007,169.315002,143.25,229.860001,315.410004,391.820007,37.189999
2022-03-30,177.770004,166.300995,142.644501,227.850006,313.859985,381.470001,36.580002
2022-03-31,174.610001,162.997498,139.649506,222.360001,308.309998,374.589996,35.68
2022-04-01,174.309998,163.559998,140.699997,224.850006,309.420013,373.470001,35.98
2022-04-04,178.440002,168.346497,143.642502,233.889999,314.970001,391.5,36.509998
2022-04-05,175.059998,164.054993,141.063004,231.839996,310.880005,380.149994,34.959999
2022-04-06,171.830002,158.755997,137.175995,223.300003,299.5,368.350006,33.41
2022-04-07,172.139999,157.7845,136.464996,222.949997,301.369995,362.149994,32.27
2022-04-08,170.089996,154.460495,134.010498,222.330002,296.970001,355.880005,32.049999
2022-04-11,165.75,151.121994,129.796494,216.460007,285.26001,348,32.040001
2022-04-12,167.660004,150.787506,128.374496,214.139999,282.059998,344.100006,31.99
2022-04-13,170.399994,155.541,130.285995,214.990005,287.619995,350.429993,32.630001
2022-04-14,165.289993,151.706497,127.252998,210.179993,279.829987,341.130005,32.68
2022-04-18,165.070007,152.785004,127.960999,210.770004,280.519989,337.859985,31.790001
2022-04-19,167.399994,158.115494,130.531006,217.309998,285.299988,348.609985,33.799999
2022-04-20,167.229996,153.998001,128.245499,200.419998,286.359985,226.190002,33.209999
2022-04-21,166.419998,148.296005,124.9375,188.070007,280.809998,218.220001,31.68
2022-04-22,161.789993,144.350006,119.613998,184.110001,274.029999,215.520004,30.83
2022-04-25,162.880005,146.074005,123.25,186.990005,280.720001,209.910004,32.439999
2022-04-26,156.800003,139.391006,119.505997,180.949997,270.220001,198.399994,31.33
2022-04-27,156.570007,138.167007,115.0205,174.949997,283.220001,188.539993,30.68
2022-04-28,163.639999,144.596497,119.411499,205.729996,289.630005,199.520004,32.82
2022-04-29,157.649994,124.281502,114.966499,200.470001,277.519989,190.360001,31.48
2022-05-02,157.960007,124.5,117.156998,211.130005,284.470001,199.460007,30.389999
2022-05-03,159.479996,124.253502,118.129501,212.029999,281.779999,199.869995,29.469999
2022-05-04,166.020004,125.928497,122.574997,223.410004,289.980011,204.009995,28.1
2022-05-05,156.770004,116.406998,116.746498,208.279999,277.350006,188.320007,26.83
2022-05-06,157.279999,114.772499,115.660004,203.770004,274.730011,180.970001,26.07
2022-05-09,152.059998,108.789001,113.084,196.210007,264.579987,173.100006,23.049999
2022-05-10,154.509995,108.859001,114.584503,197.649994,269.5,177.660004,23.67
2022-05-11,146.5,105.372002,113.960999,188.740005,260.549988,166.369995,22.57
2022-05-12,142.559998,106.930496,113.161003,191.240005,255.350006,174.309998,23.290001
2022-05-13,147.110001,113.055,116.515503,198.619995,261.119995,187.639999,24.389999
2022-05-16,145.539993,110.810501,114.792503,200.039993,261.5,186.509995,23.59
2022-05-17,149.240005,115.3685,116.7015,202.619995,266.820007,190.559998,24.200001
2022-05-18,140.820007,107.112503,112.401001,192.240005,254.080002,177.190002,22.459999
